,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_1,77265463,533945958875,"(0.5593560338020325, 0.3692702353000641)","(11.198616981506348, 78.00764465332031, 17.750648498535156)",1,5.5235443115234375,1,"(-50.1991081237793, -69.2379150390625, 658.3511962890625)","(0.6024925708770752, 0.644960880279541, 0.477714478969574)",1,"(0.43713414669036865, 0.39447489380836487)","(-11.860812187194824, 75.21480560302734, 16.734148025512695)",1,5.33673095703125,1,"(13.144283294677734, -67.67318725585938, 657.1900634765625)","(0.4728648066520691, 0.6413550972938538, 0.47109082341194153)",1,cat
timestep_2,77782153,533946475587,"(0.32923176884651184, 0.31471267342567444)","(-32.21860122680664, 84.0530014038086, 19.950931549072266)",1,5.6905059814453125,1,"(-50.938045501708984, -67.83841705322266, 654.953369140625)","(0.6046141982078552, 0.6427007913589478, 0.47023460268974304)",1,"(0.21761636435985565, 0.36715009808540344)","(-53.27691650390625, 78.2425765991211, 17.836156845092773)",1,5.399566650390625,1,"(12.428565979003906, -65.98808288574219, 653.6778564453125)","(0.4741877019405365, 0.6385101675987244, 0.463144451379776)",1,cat
timestep_3,77782153,533946475587,"(0.32923176884651184, 0.31471267342567444)","(-32.21860122680664, 84.0530014038086, 19.950931549072266)",1,5.6905059814453125,1,"(-50.938045501708984, -67.83841705322266, 654.953369140625)","(0.6046141982078552, 0.6427007913589478, 0.47023460268974304)",1,"(0.21761636435985565, 0.36715009808540344)","(-53.27691650390625, 78.2425765991211, 17.836156845092773)",1,5.399566650390625,1,"(12.428565979003906, -65.98808288574219, 653.6778564453125)","(0.4741877019405365, 0.6385101675987244, 0.463144451379776)",1,cat
timestep_4,78790533,533947484008,"(0.5460968613624573, 0.12885966897010803)","(8.697027206420898, 104.64671325683594, 27.44646453857422)",1,5.9530029296875,1,"(-49.37221145629883, -68.24040222167969, 652.9414672851562)","(0.6017482876777649, 0.6438765525817871, 0.46570873260498047)",1,"(0.46864786744117737, 0.1491166651248932)","(-5.915163516998291, 102.402099609375, 26.62952995300293)",1,5.74212646484375,1,"(13.915699005126953, -66.53492736816406, 651.8717041015625)","(0.4710240364074707, 0.6399365663528442, 0.45939701795578003)",1,cat
timestep_5,79290556,533947984022,"(0.9670413136482239, 0.08341497927904129)","(88.11599731445312, 109.68228149414062, 29.279268264770508)",1,6.0164642333984375,1,"(-48.45032501220703, -67.7877426147461, 653.7267456054688)","(0.5997162461280823, 0.642791211605072, 0.46717211604118347)",1,"(0.8656324148178101, 0.06252618134021759)","(68.98333740234375, 111.99690246582031, 30.12171173095703)",1,5.717529296875,1,"(14.851567268371582, -66.22295379638672, 652.7863159179688)","(0.46913763880729675, 0.6391251683235168, 0.46136474609375)",1,cat
timestep_6,79782232,533948475616,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(0.4882442355155945, 1.0261539220809937)","(-2.21794056892395, 5.220644950866699, -8.741649627685547)",1,5.4859771728515625,1,"(14.686001777648926, -68.35874938964844, 652.0067749023438)","(0.46942436695098877, 0.6436707377433777, 0.46006667613983154)",1,cat
timestep_7,80315598,533949009007,"(0.03212118148803711, 0.15447436273097992)","(-88.27400970458984, 101.80842590332031, 26.413434982299805)",1,5.5371856689453125,1,"(-53.2294921875, -69.28964233398438, 653.0678100585938)","(0.6096653342247009, 0.646060585975647, 0.4668285846710205)",1,"(-0.037923261523246765, 0.12313199043273926)","(-101.48919677734375, 105.28137969970703, 27.677467346191406)",1,5.3439178466796875,1,"(10.225858688354492, -66.79976654052734, 651.015625)","(0.47862982749938965, 0.6406686305999756, 0.457445353269577)",1,cat
timestep_8,80832286,533949525537,"(0.8988965153694153, 0.14443820714950562)","(75.25922393798828, 102.9205093383789, 26.818185806274414)",1,5.4386444091796875,1,"(-48.82703399658203, -68.96162414550781, 652.12060546875)","(0.6007636189460754, 0.6455126404762268, 0.46398526430130005)",1,"(0.7986001372337341, 0.15340040624141693)","(56.33644104003906, 101.92743682861328, 26.45673370361328)",1,5.1471405029296875,1,"(14.534982681274414, -67.14131164550781, 650.956298828125)","(0.46968966722488403, 0.6413444876670837, 0.45755600929260254)",1,cat
timestep_9,81315643,533950009059,"(0.3303026854991913, 1.1779892444610596)","(-32.016544342041016, -11.603686332702637, -14.865214347839355)",1,5.553619384765625,1,"(-50.30036163330078, -70.9719467163086, 650.608154296875)","(0.6040645241737366, 0.6499766111373901, 0.46135106682777405)",1,"(0.2566258907318115, 1.288958191871643)","(-45.91704559326172, -23.89976692199707, -19.34061050415039)",1,5.0574493408203125,1,"(12.582634925842285, -69.05000305175781, 649.9292602539062)","(0.4736783802509308, 0.6454977989196777, 0.4556068778038025)",1,cat
timestep_10,81849002,533950542479,"(0.3678428530693054, 0.3346419632434845)","(-24.933895111083984, 81.84468841552734, 19.147239685058594)",1,5.41943359375,1,"(-52.282859802246094, -69.84909057617188, 651.5222778320312)","(0.6080002784729004, 0.6474955677986145, 0.4634372889995575)",1,"(0.25186657905578613, 0.3845367431640625)","(-46.814971923828125, 76.31600952148438, 17.134967803955078)",1,5.14776611328125,1,"(11.096768379211426, -67.28640747070312, 649.2282104492188)","(0.4767482876777649, 0.6419843435287476, 0.453695684671402)",1,cat
