,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_1,748237101,534616926979,"(0.15313994884490967, 0.15440675616264343)","(-65.44158172607422, 101.81591033935547, 26.416194915771484)",1,5.4975738525390625,1,"(-55.89817428588867, 12.199930191040039, 528.4473876953125)","(0.6470780372619629, 0.4670393168926239, 0.19297419488430023)",1,"(0.053723689168691635, 0.16044948995113373)","(-84.19830322265625, 101.14633178710938, 26.17251205444336)",1,5.424774169921875,1,"(6.021157741546631, 16.635013580322266, 521.47998046875)","(0.4843369424343109, 0.4543611705303192, 0.17205014824867249)",1,cat
timestep_2,748737130,534617427045,"(0.18226172029972076, 0.9820117354393005)","(-59.94721984863281, 10.111875534057617, -6.961340427398682)",1,5.096038818359375,1,"(-55.8182373046875, 9.90502643585205, 527.6531982421875)","(0.6471109986305237, 0.47278687357902527, 0.19104017317295074)",1,"(-0.07117445021867752, 0.9833024740219116)","(-107.76264953613281, 9.968852996826172, -7.013401985168457)",1,5.1009979248046875,1,"(5.361752510070801, 14.328556060791016, 521.3031616210938)","(0.4860731363296509, 0.46028074622154236, 0.17140409350395203)",1,cat
timestep_3,749253819,534617943679,"(0.4689923822879791, 1.135880947113037)","(-5.850170135498047, -6.937833786010742, -13.1669282913208)",1,5.0267333984375,1,"(-53.702125549316406, 9.374188423156738, 527.0236206054688)","(0.6417591571807861, 0.47405993938446045, 0.1891675889492035)",1,"(0.2237008512020111, 1.21268630027771)","(-52.12895584106445, -15.448373794555664, -16.264514923095703)",1,4.84503173828125,1,"(7.577002048492432, 13.634836196899414, 520.1885986328125)","(0.4800988733768463, 0.461916446685791, 0.16897277534008026)",1,cat
timestep_4,749770510,534618460410,"(0.9262195825576782, 0.9306644797325134)","(80.41423797607422, 15.801488876342773, -4.890500068664551)",1,4.5979156494140625,1,"(-51.823143005371094, 10.221202850341797, 526.7572631835938)","(0.6369127035140991, 0.47186294198036194, 0.188260018825531)",1,"(0.7374741435050964, 1.0099502801895142)","(44.80389404296875, 7.016101837158203, -8.08812141418457)",1,4.3553009033203125,1,"(9.989405632019043, 14.192343711853027, 520.487060546875)","(0.47366011142730713, 0.4604942202568054, 0.16976425051689148)",1,cat
timestep_5,750270533,534618960358,"(0.8396968245506287, -0.3152523338794708)","(64.0901107788086, 153.85720825195312, 45.35767364501953)",1,5.05963134765625,1,"(-50.02284240722656, 12.65622615814209, 527.8594970703125)","(0.6318790316581726, 0.46576935052871704, 0.1904889941215515)",1,"(0.7500863075256348, -0.3155198395252228)","(47.18342208862305, 153.88685607910156, 45.36846160888672)",1,4.7909088134765625,1,"(12.175620079040527, 15.883500099182129, 521.822509765625)","(0.4679197072982788, 0.45628753304481506, 0.17294086515903473)",1,cat
timestep_6,750737216,534619427158,"(0.6304957270622253, -0.36110252141952515)","(24.62042999267578, 158.9376983642578, 47.20683670043945)",1,5.104583740234375,1,"(-50.70357131958008, 12.571447372436523, 527.892333984375)","(0.6336529850959778, 0.46599388122558594, 0.190690815448761)",1,"(0.5790024995803833, -0.30156487226486206)","(14.905282020568848, 152.34054565429688, 44.80564880371094)",1,4.829376220703125,1,"(11.960210800170898, 15.728259086608887, 521.8143920898438)","(0.4684925377368927, 0.4566875696182251, 0.17289574444293976)",1,cat
timestep_7,751287241,534619977109,"(-0.06410299986600876, 0.2850416302680969)","(-106.42849731445312, 87.3407211303711, 21.14766502380371)",1,5.0089569091796875,1,"(-52.968345642089844, 11.175363540649414, 529.0068359375)","(0.6392380595207214, 0.4696730673313141, 0.19344787299633026)",1,"(-0.15910805761814117, 0.24688999354839325)","(-124.35296630859375, 91.56816864013672, 22.686317443847656)",1,4.940521240234375,1,"(9.80333137512207, 14.529302597045898, 522.55810546875)","(0.47428086400032043, 0.459879994392395, 0.17428775131702423)",1,cat
timestep_8,751795595,534620485399,"(0.8826062679290771, 0.3810634911060333)","(72.18576049804688, 76.70086669921875, 17.275062561035156)",1,4.882568359375,1,"(-49.467384338378906, 11.320096015930176, 527.5010986328125)","(0.630517303943634, 0.46912282705307007, 0.18948045372962952)",1,"(0.8024963140487671, 0.44248929619789124)","(57.071529388427734, 69.89449310302734, 14.79773235321045)",1,4.5444488525390625,1,"(13.21453857421875, 14.554988861083984, 521.8955688476562)","(0.46514180302619934, 0.45970475673675537, 0.17301316559314728)",1,cat
timestep_9,751795595,534620485399,"(0.8826062679290771, 0.3810634911060333)","(72.18576049804688, 76.70086669921875, 17.275062561035156)",1,4.882568359375,1,"(-49.467384338378906, 11.320096015930176, 527.5010986328125)","(0.630517303943634, 0.46912282705307007, 0.18948045372962952)",1,"(0.8024963140487671, 0.44248929619789124)","(57.071529388427734, 69.89449310302734, 14.79773235321045)",1,4.5444488525390625,1,"(13.21453857421875, 14.554988861083984, 521.8955688476562)","(0.46514180302619934, 0.45970475673675537, 0.17301316559314728)",1,cat
timestep_10,752803978,534621493831,"(-0.1832895278930664, 0.09976093471050262)","(-128.9152374267578, 107.87103271484375, 28.62006187438965)",1,5.0811614990234375,1,"(-52.176841735839844, 11.241439819335938, 527.25390625)","(0.6376976370811462, 0.46931931376457214, 0.189496248960495)",1,"(-0.1970953792333603, 0.06648517400026321)","(-131.51995849609375, 111.55819702148438, 29.962100982666016)",1,4.9387054443359375,1,"(10.5384521484375, 14.28589153289795, 522.5625610351562)","(0.47232064604759216, 0.4604996144771576, 0.17430314421653748)",1,cat
timestep_11,753304000,534621993950,"(0.08090638369321823, 0.6765564680099487)","(-79.06979370117188, 43.958316802978516, 5.357757091522217)",1,5.0055694580078125,1,"(-50.1882438659668, 10.427717208862305, 527.2001953125)","(0.6324902176856995, 0.47136786580085754, 0.18889756500720978)",1,"(0.022984346374869347, 0.6859779357910156)","(-89.99784851074219, 42.91434860229492, 4.977810382843018)",1,4.8322296142578125,1,"(12.631993293762207, 12.933897972106934, 521.79736328125)","(0.46667468547821045, 0.4638673961162567, 0.17260728776454926)",1,cat
timestep_12,753829027,534622518902,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
