,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_1,711585462,534580275544,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_2,712085493,534580775577,"(1.4073718786239624, -0.5377255082130432)","(171.19253540039062, 178.50868225097656, 54.3300666809082)",1,5.290313720703125,1,"(-36.36053466796875, -4.942571640014648, 568.6497802734375)","(0.5880361795425415, 0.5113988518714905, 0.27555301785469055)",1,"(1.3241653442382812, -0.45046699047088623)","(155.4940643310547, 168.8398895263672, 50.81087875366211)",1,4.9056549072265625,1,"(26.061473846435547, -6.410327434539795, 571.7193603515625)","(0.43763217329978943, 0.5144633054733276, 0.28097984194755554)",1,cat
timestep_3,712585518,534581275578,"(1.3591973781585693, -0.28447312116622925)","(162.103515625, 150.44667053222656, 44.11634063720703)",1,5.093017578125,1,"(-36.28741455078125, -6.126340389251709, 569.019775390625)","(0.5877871513366699, 0.5142029523849487, 0.2763234078884125)",1,"(1.1978225708007812, -0.2717038691043854)","(131.65716552734375, 149.03176879882812, 43.601322174072266)",1,4.7167816162109375,1,"(25.98629379272461, -7.503002166748047, 571.9083862304688)","(0.437827467918396, 0.517034649848938, 0.281368225812912)",1,cat
timestep_4,713102207,534581792295,"(1.3668454885482788, 0.5232619047164917)","(163.54647827148438, 60.944374084472656, 11.540107727050781)",1,4.561767578125,1,"(-34.7706298828125, -7.496004581451416, 569.1251220703125)","(0.5841054916381836, 0.517428457736969, 0.2763296365737915)",1,"(1.1954618692398071, 0.5377418398857117)","(131.2117919921875, 59.339908599853516, 10.956138610839844)",1,4.235687255859375,1,"(27.49150848388672, -9.055996894836426, 572.1669921875)","(0.434237003326416, 0.5206744074821472, 0.28206759691238403)",1,cat
timestep_5,713102207,534581792295,"(1.3668454885482788, 0.5232619047164917)","(163.54647827148438, 60.944374084472656, 11.540107727050781)",1,4.561767578125,1,"(-34.7706298828125, -7.496004581451416, 569.1251220703125)","(0.5841054916381836, 0.517428457736969, 0.2763296365737915)",1,"(1.1954618692398071, 0.5377418398857117)","(131.2117919921875, 59.339908599853516, 10.956138610839844)",1,4.235687255859375,1,"(27.49150848388672, -9.055996894836426, 572.1669921875)","(0.434237003326416, 0.5206744074821472, 0.28206759691238403)",1,cat
timestep_6,714118920,534582809016,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(1.7739336490631104, 0.6249789595603943)","(240.35118103027344, 49.67345428466797, 7.4378581047058105)",1,2.897247314453125,1,"(28.023929595947266, -9.736119270324707, 573.299072265625)","(0.4331066906452179, 0.5222723484039307, 0.28457826375961304)",1,cat
timestep_7,714618941,534583308995,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_8,715135632,534583825709,"(1.1017405986785889, 0.6373199224472046)","(113.52951049804688, 48.30598068237305, 6.940202236175537)",1,4.579376220703125,1,"(-32.007896423339844, -8.794464111328125, 568.932373046875)","(0.5774694085121155, 0.5204734206199646, 0.27555182576179504)",1,"(0.9147757887840271, 0.6045528054237366)","(78.2551498413086, 51.93679428100586, 8.261677742004395)",1,4.4848785400390625,1,"(30.37683868408203, -11.398625373840332, 572.336181640625)","(0.4273228645324707, 0.5261543989181519, 0.2827450931072235)",1,cat
timestep_9,715585652,534584275783,"(0.881165087223053, 0.8620737195014954)","(71.91385650634766, 23.401798248291016, -2.1242363452911377)",1,4.450164794921875,1,"(-33.59128952026367, -9.301582336425781, 567.0781860351562)","(0.5815882682800293, 0.5216739177703857, 0.271720826625824)",1,"(0.7404187321662903, 0.7548379302024841)","(45.35944366455078, 35.284236907958984, 2.2005746364593506)",1,4.515960693359375,1,"(29.09444808959961, -11.813604354858398, 570.668212890625)","(0.4301597774028778, 0.527145504951477, 0.27898240089416504)",1,cat
timestep_10,716152341,534584842391,"(1.3479316234588623, 0.5081870555877686)","(159.97804260253906, 62.61475372314453, 12.148109436035156)",1,4.2206573486328125,1,"(-29.792320251464844, -8.854040145874023, 570.7152099609375)","(0.571868360042572, 0.5206100344657898, 0.27916404604911804)",1,"(1.2186477184295654, 0.5431264042854309)","(135.58621215820312, 58.74323654174805, 10.739034652709961)",1,3.65277099609375,1,"(32.98931884765625, -12.444533348083496, 575.3436279296875)","(0.4215260148048401, 0.5285700559616089, 0.28958794474601746)",1,cat
