,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_1,672450392,534541140764,"(2.4955406188964844, -1.2622913122177124)","(376.4957580566406, 258.7953186035156, 83.55200958251953)",1,6.0064544677734375,1,"(-33.23198699951172, 1.01119065284729, 577.555908203125)","(0.5791099667549133, 0.49771949648857117, 0.29466089606285095)",1,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_2,672950408,534541640626,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(0.5276373624801636, 1.2289342880249023)","(5.214297771453857, -17.248754501342773, -16.919816970825195)",1,5.1410369873046875,1,"(25.29859161376953, -1.3737003803253174, 569.6492309570312)","(0.43925127387046814, 0.5025510787963867, 0.276536762714386)",1,cat
timestep_3,672950408,534541640626,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(0.5276373624801636, 1.2289342880249023)","(5.214297771453857, -17.248754501342773, -16.919816970825195)",1,5.1410369873046875,1,"(25.29859161376953, -1.3737003803253174, 569.6492309570312)","(0.43925127387046814, 0.5025510787963867, 0.276536762714386)",1,cat
timestep_4,673958789,534542649051,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_5,674475477,534543165739,"(0.6173226833343506, -0.6211138963699341)","(22.135093688964844, 187.74868774414062, 57.693138122558594)",1,5.369842529296875,1,"(-30.929485321044922, 2.3231194019317627, 570.2406005859375)","(0.5747432708740234, 0.4942718744277954, 0.278569757938385)",1,"(0.618216872215271, -0.5544333457946777)","(22.30380630493164, 180.36004638671875, 55.003849029541016)",1,4.8827362060546875,1,"(32.529571533203125, 0.11626871675252914, 572.8150634765625)","(0.4223328232765198, 0.4991225004196167, 0.284249871969223)",1,cat
timestep_6,674992168,534543682458,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_7,675492194,534544182482,"(0.7963017821311951, -1.4476463794708252)","(55.90281295776367, 279.3338623046875, 91.02739715576172)",1,5.4958648681640625,1,"(-31.6862735748291, 0.40406015515327454, 561.81787109375)","(0.5778671503067017, 0.4984194338321686, 0.2602938413619995)",1,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_8,675492194,534544182482,"(0.7963017821311951, -1.4476463794708252)","(55.90281295776367, 279.3338623046875, 91.02739715576172)",1,5.4958648681640625,1,"(-31.6862735748291, 0.40406015515327454, 561.81787109375)","(0.5778671503067017, 0.4984194338321686, 0.2602938413619995)",1,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_9,676492239,534545182460,"(0.3122639060020447, -0.7594603300094604)","(-35.419898986816406, 203.078369140625, 63.27266311645508)",1,5.0000762939453125,1,"(-34.0150032043457, 0.4930172562599182, 570.040771484375)","(0.5821835994720459, 0.49859824776649475, 0.2784305810928345)",1,"(0.4397360682487488, -0.7462462186813354)","(-11.36990737915039, 201.61415100097656, 62.739742279052734)",1,4.8000030517578125,1,"(29.850902557373047, -1.3859267234802246, 571.2493896484375)","(0.42850980162620544, 0.5026075839996338, 0.28048256039619446)",1,cat
timestep_10,677008930,534545699225,"(0.9051628112792969, -0.8958397507667542)","(76.44146728515625, 218.19007873535156, 68.77291870117188)",1,4.9984893798828125,1,"(-32.2899169921875, 0.33889061212539673, 571.7926025390625)","(0.577759861946106, 0.49902626872062683, 0.2820108234882355)",1,"(0.9737386107444763, -0.8604377508163452)","(89.37957000732422, 214.267333984375, 67.34512329101562)",1,4.5449371337890625,1,"(31.527803421020508, -1.1595678329467773, 572.011962890625)","(0.4245993494987488, 0.5020923614501953, 0.2823386788368225)",1,cat
timestep_11,677508946,534546199219,"(0.6530017256736755, -1.6365021467208862)","(28.866621017456055, 300.2603454589844, 98.64399719238281)",1,4.7904510498046875,1,"(-27.619121551513672, -0.9743177890777588, 570.0704956054688)","(0.5667827725410461, 0.502011775970459, 0.2776966989040375)",1,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_12,678025640,534546715882,"(1.4521925449371338, -1.075003981590271)","(179.64878845214844, 238.04266357421875, 75.99862670898438)",1,5.2532806396484375,1,"(-30.963024139404297, -0.9047774076461792, 571.7951049804688)","(0.5745706558227539, 0.5019397735595703, 0.281810998916626)",1,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
