,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_1,531027405,534399718484,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_2,531544090,534400235164,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_3,532044114,534400735116,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_4,532485803,534401176873,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_5,533060820,534401751842,"(0.43202951550483704, -0.4925267994403839)","(-12.823890686035156, 173.5003662109375, 52.507205963134766)",1,4.3243560791015625,1,"(-55.25686264038086, 9.781654357910156, 540.33203125)","(0.6417014002799988, 0.47428324818611145, 0.218304842710495)",1,"(0.46790292859077454, -0.3721725046634674)","(-6.0557122230529785, 160.16433715820312, 47.653255462646484)",1,4.3649444580078125,1,"(5.350551128387451, 15.50484561920166, 542.7294921875)","(0.48675429821014404, 0.45986708998680115, 0.2180492877960205)",1,cat
timestep_6,533569178,534402260221,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_7,534077531,534402768543,"(1.132851004600525, -0.25839903950691223)","(119.3990707397461, 147.55751037597656, 43.06473159790039)",1,4.6690673828125,1,"(-48.324501037597656, 10.965646743774414, 546.9029541015625)","(0.6223102807998657, 0.4719178080558777, 0.23120303452014923)",1,"(1.1876651048660278, -0.15834544599056244)","(129.74078369140625, 136.4709014892578, 39.029579162597656)",1,4.1485748291015625,1,"(14.49405574798584, 15.344980239868164, 541.4736938476562)","(0.46334242820739746, 0.46004247665405273, 0.21566520631313324)",1,cat
timestep_8,534577560,534403268607,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_9,534577560,534403268607,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_10,535585938,534404277006,"(-0.14238153398036957, 0.4632638990879059)","(-121.19719696044922, 67.59253692626953, 13.959848403930664)",1,4.7281341552734375,1,"(-53.16862106323242, 8.273002624511719, 549.6787109375)","(0.6337020397186279, 0.47879236936569214, 0.23795457184314728)",1,"(-0.19255436956882477, 0.5052666664123535)","(-130.66322326660156, 62.93833923339844, 12.265938758850098)",1,4.62115478515625,1,"(8.498239517211914, 13.359109878540039, 542.652587890625)","(0.4787079393863678, 0.46514299511909485, 0.21775658428668976)",1,cat
timestep_11,536119296,534404810281,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_12,536627654,534405318644,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(-0.3696545660495758, -0.8428458571434021)","(-164.0764617919922, 212.31802368164062, 66.6356430053711)",1,4.5405731201171875,1,"(11.567066192626953, 14.307087898254395, 547.9854736328125)","(0.4712188243865967, 0.46336430311203003, 0.22954857349395752)",1,cat
