,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,type
timestep_1,859542078,534728231513,"(-0.1638694852590561, 1.0403472185134888)","(-125.25128936767578, 3.6479294300079346, -9.314040184020996)",1,5.4176483154296875,1,"(-52.76068878173828, -19.41225814819336, 579.5565795898438)","(0.6247225999832153, 0.5453417301177979, 0.30200353264808655)",1,"(-0.3293534219264984, 1.0255056619644165)","(-156.472900390625, 5.29249382019043, -8.71550464630127)",1,5.1820526123046875,1,"(8.444631576538086, -10.468568801879883, 572.320068359375)","(0.47993233799934387, 0.5241317749023438, 0.2811121344566345)",1,cat
timestep_2,860058763,534728748139,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_3,860567119,534729256505,"(0.9738780856132507, -0.7184625267982483)","(89.40587615966797, 198.53555297851562, 61.619224548339844)",1,4.816314697265625,1,"(-44.92204666137695, -17.527400970458984, 577.9002685546875)","(0.6066102981567383, 0.5409534573554993, 0.29694464802742004)",1,"(0.7793946862220764, -0.6408828496932983)","(52.71299743652344, 189.939208984375, 58.49040985107422)",1,4.5673370361328125,1,"(16.199363708496094, -9.100303649902344, 571.8201904296875)","(0.4612998962402344, 0.5208588242530823, 0.28038835525512695)",1,cat
timestep_4,861083810,534729773132,"(-0.9066538214683533, 0.09760870784521103)","(-265.3913269042969, 108.10950469970703, 28.70688247680664)",1,4.5480499267578125,1,"(-50.477413177490234, -19.667884826660156, 586.831298828125)","(0.6176572442054749, 0.5456571578979492, 0.31733211874961853)",1,"(-0.892310619354248, 0.11650612950325012)","(-262.6852111816406, 106.01555633544922, 27.944732666015625)",1,4.3038330078125,1,"(11.691102027893066, -10.958379745483398, 574.184814453125)","(0.47224411368370056, 0.5252558588981628, 0.28528812527656555)",1,cat
timestep_5,861083810,534729773132,"(-0.9066538214683533, 0.09760870784521103)","(-265.3913269042969, 108.10950469970703, 28.70688247680664)",1,4.5480499267578125,1,"(-50.477413177490234, -19.667884826660156, 586.831298828125)","(0.6176572442054749, 0.5456571578979492, 0.31733211874961853)",1,"(-0.892310619354248, 0.11650612950325012)","(-262.6852111816406, 106.01555633544922, 27.944732666015625)",1,4.3038330078125,1,"(11.691102027893066, -10.958379745483398, 574.184814453125)","(0.47224411368370056, 0.5252558588981628, 0.28528812527656555)",1,cat
timestep_6,862100522,534730789835,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,cat
timestep_7,862600546,534731289956,"(1.286339521408081, 0.3195187449455261)","(148.35752868652344, 83.52043151855469, 19.757184982299805)",1,4.903167724609375,1,"(-42.63414001464844, -19.37399673461914, 578.9675903320312)","(0.6009739637374878, 0.5451968312263489, 0.29894131422042847)",1,"(1.1555724143981934, 0.3534604609012604)","(123.68589782714844, 79.75947570800781, 18.388280868530273)",1,4.4304656982421875,1,"(18.83197593688965, -11.484896659851074, 573.5582275390625)","(0.45511695742607117, 0.5264379382133484, 0.28433558344841003)",1,cat
timestep_8,863117230,534731806546,"(0.8255800008773804, -0.3492642939090729)","(61.42670440673828, 157.62596130371094, 46.7293815612793)",1,4.8724212646484375,1,"(-44.53846740722656, -18.081872940063477, 577.8338623046875)","(0.6057136058807373, 0.5422431230545044, 0.296752005815506)",1,"(0.8473473787307739, -0.33433032035827637)","(65.53352355957031, 155.97119140625, 46.1270637512207)",1,4.472625732421875,1,"(17.87371826171875, -10.215206146240234, 572.5042724609375)","(0.45732954144477844, 0.5234679579734802, 0.28197818994522095)",1,cat
timestep_9,863617251,534732306546,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(-0.5163906216621399, -0.4745832085609436)","(-191.7609405517578, 171.51211547851562, 51.783504486083984)",1,4.3416900634765625,1,"(12.38329029083252, -10.562223434448242, 573.8511352539062)","(0.4705730080604553, 0.5243233442306519, 0.284593790769577)",1,cat
timestep_10,864133949,534732823258,"(nan, nan)","(nan, nan, nan)",0,,0,"(nan, nan, nan)","(nan, nan, nan)",0,"(-0.9328823089599609, 0.21098534762859344)","(-270.3398132324219, 95.54664611816406, 24.13433837890625)",1,4.2104949951171875,1,"(11.628554344177246, -11.52659797668457, 573.6939697265625)","(0.47236204147338867, 0.5265880227088928, 0.28422001004219055)",1,cat
